timestamp,direction,type,message
2026-07-05 18:31:53.873,AS_GPS_HS->Helix,nmea,"$PTSI160,6,-4,234*1F"
2026-07-05 18:31:53.873,AS_GPS_HS->Helix,raw,RAW_LEN=19 HEX=53493136302C362C2D342C3233342A31460D0A
2026-07-05 18:31:53.926,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:53.926,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:53.927,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
2026-07-05 18:31:53.934,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:53.936,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2026-07-05 18:31:53.936,AS_GPS_HS->Helix,raw,RAW_LEN=25 HEX=2C2C2C2C302C30302C39392E39392C2C2C2C2C2C2A35360D0A
2026-07-05 18:31:54.125,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:54.125,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:54.125,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
2026-07-05 18:31:54.125,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:54.125,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2026-07-05 18:31:54.125,AS_GPS_HS->Helix,raw,RAW_LEN=25 HEX=2C2C2C2C302C30302C39392E39392C2C2C2C2C2C2A35360D0A
2026-07-05 18:31:54.325,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:54.325,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:54.325,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
2026-07-05 18:31:54.325,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:54.325,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2026-07-05 18:31:54.325,AS_GPS_HS->Helix,raw,RAW_LEN=25 HEX=2C2C2C2C302C30302C39392E39392C2C2C2C2C2C2A35360D0A
2026-07-05 18:31:54.365,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:54.365,AS_GPS_HS->Helix,nmea,"$GPHDG,234.0,0.0,E,0.0,E*5B"
2026-07-05 18:31:54.365,AS_GPS_HS->Helix,raw,RAW_LEN=28 HEX=47504844472C3233342E302C302E302C452C302E302C452A35420D0A
2026-07-05 18:31:54.525,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:54.525,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:54.525,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
2026-07-05 18:31:54.525,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:54.525,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2026-07-05 18:31:54.525,AS_GPS_HS->Helix,raw,RAW_LEN=25 HEX=2C2C2C2C302C30302C39392E39392C2C2C2C2C2C2A35360D0A
2026-07-05 18:31:54.725,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:54.725,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:54.725,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
2026-07-05 18:31:54.725,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:54.725,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2026-07-05 18:31:54.725,AS_GPS_HS->Helix,raw,RAW_LEN=25 HEX=2C2C2C2C302C30302C39392E39392C2C2C2C2C2C2A35360D0A
2026-07-05 18:31:54.865,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:54.865,AS_GPS_HS->Helix,nmea,"$GPHDG,235.0,0.0,E,0.0,E*5A"
2026-07-05 18:31:54.865,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=47504844472C3233352E302C302E302C452C302E302C452A35410D0A245054
2026-07-05 18:31:54.875,AS_GPS_HS->Helix,nmea,"$PTSI160,7,-5,235*1E"
2026-07-05 18:31:54.875,AS_GPS_HS->Helix,raw,RAW_LEN=19 HEX=53493136302C372C2D352C3233352A31450D0A
2026-07-05 18:31:54.925,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:54.925,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:54.925,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
2026-07-05 18:31:54.925,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:54.925,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2026-07-05 18:31:54.925,AS_GPS_HS->Helix,raw,RAW_LEN=25 HEX=2C2C2C2C302C30302C39392E39392C2C2C2C2C2C2A35360D0A
2026-07-05 18:31:55.125,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:55.125,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:55.125,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
2026-07-05 18:31:55.125,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:55.125,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
